Year,Region,Index,Source,CO2eq,Unit
1991,Ontario,200,Provincial Inventory Total,178.84,Mt
1991,Ontario,201,Oil and Gas,9.62,Mt
1991,Ontario,202,Electricity,27.65,Mt
1991,Ontario,203,Transport,39.37,Mt
1991,Ontario,204,Heavy Industry,43.22,Mt
1991,Ontario,205,Buildings,27.31,Mt
1991,Ontario,206,Agriculture,11.34,Mt
1991,Ontario,207,Waste,8.18,Mt
1991,Ontario,208,"Light Manufacturing, Construction and Forest Resources",12.15,Mt
1991,Prince Edward Island,209,Provincial Inventory Total,1.74,Mt
1991,Prince Edward Island,210,Oil and Gas,0,Mt
1991,Prince Edward Island,211,Electricity,0.09,Mt
1991,Prince Edward Island,212,Transport,0.56,Mt
1991,Prince Edward Island,213,Heavy Industry,0,Mt
1991,Prince Edward Island,214,Buildings,0.53,Mt
1991,Prince Edward Island,215,Agriculture,0.36,Mt
1991,Prince Edward Island,216,Waste,0.09,Mt
1991,Prince Edward Island,217,"Light Manufacturing, Construction and Forest Resources",0.1,Mt
1991,Quebec,218,Provincial Inventory Total,80.14,Mt
1991,Quebec,219,Oil and Gas,3.39,Mt
1991,Quebec,220,Electricity,0.52,Mt
1991,Quebec,221,Transport,22.71,Mt
1991,Quebec,222,Heavy Industry,25.03,Mt
1991,Quebec,223,Buildings,10.99,Mt
1991,Quebec,224,Agriculture,7.54,Mt
1991,Quebec,225,Waste,5.25,Mt
1991,Quebec,226,"Light Manufacturing, Construction and Forest Resources",4.71,Mt
1991,Saskatchewan,227,Provincial Inventory Total,46.59,Mt
1991,Saskatchewan,228,Oil and Gas,14.09,Mt
1991,Saskatchewan,229,Electricity,11.3,Mt
1991,Saskatchewan,230,Transport,5.43,Mt
1991,Saskatchewan,231,Heavy Industry,1.64,Mt
1991,Saskatchewan,232,Buildings,3.22,Mt
1991,Saskatchewan,233,Agriculture,8.68,Mt
1991,Saskatchewan,234,Waste,1.06,Mt
1991,Saskatchewan,235,Coal Production,0.04,Mt
1991,Saskatchewan,236,"Light Manufacturing, Construction and Forest Resources",1.14,Mt
1991,Yukon,237,Territorial Inventory Total,0.51,Mt
1991,Yukon,238,Oil and Gas,0,Mt
1991,Yukon,239,Electricity,0.06,Mt
1991,Yukon,240,Transport,0.28,Mt
1991,Yukon,241,Heavy Industry,0.03,Mt
1991,Yukon,242,Buildings,0.1,Mt
1991,Yukon,243,Agriculture,0,Mt
1991,Yukon,244,Waste,0.02,Mt
1991,Yukon,245,"Light Manufacturing, Construction and Forest Resources",0.02,Mt
1992,Alberta,246,Provincial Inventory Total,174.08,Mt
1992,Alberta,247,Oil and Gas,67.58,Mt
1992,Alberta,248,Electricity,44.71,Mt
1992,Alberta,249,Transport,14.33,Mt
1992,Alberta,250,Heavy Industry,12.81,Mt
1992,Alberta,251,Buildings,11.21,Mt
1992,Alberta,252,Agriculture,15.79,Mt
1992,Alberta,253,Waste,2.36,Mt
1992,Alberta,254,Coal Production,0.64,Mt
1992,Alberta,255,"Light Manufacturing, Construction and Forest Resources",4.65,Mt
1992,British Columbia,256,Provincial Inventory Total,49.65,Mt
1992,British Columbia,257,Oil and Gas,6.56,Mt
1992,British Columbia,258,Electricity,0.99,Mt
1992,British Columbia,259,Transport,15.62,Mt
1992,British Columbia,260,Heavy Industry,8.12,Mt
1992,British Columbia,261,Buildings,7.68,Mt
1992,British Columbia,262,Agriculture,2.69,Mt
1992,British Columbia,263,Waste,4.26,Mt
1992,British Columbia,264,Coal Production,1.52,Mt
1992,British Columbia,265,"Light Manufacturing, Construction and Forest Resources",2.21,Mt
1992,Canada,266,National Inventory Total,605.29,Mt
1992,Canada,267,Oil and Gas,110.82,Mt
1992,Canada,268,Electricity,102.52,Mt
1992,Canada,269,Transport,115.22,Mt
1992,Canada,270,Heavy Industry,94.63,Mt
1992,Canada,271,Buildings,72.42,Mt
1992,Canada,272,Agriculture,54.74,Mt
1992,Canada,273,Waste,25.02,Mt
1992,Canada,274,Coal Production,3.54,Mt
1992,Canada,275,"Light Manufacturing, Construction and Forest Resources",26.37,Mt
1992,Manitoba,276,Provincial Inventory Total,18.27,Mt
1992,Manitoba,277,Oil and Gas,1.92,Mt
1992,Manitoba,278,Electricity,0.39,Mt
1992,Manitoba,279,Transport,4.86,Mt
1992,Manitoba,280,Heavy Industry,1.08,Mt
1992,Manitoba,281,Buildings,2.95,Mt
1992,Manitoba,282,Agriculture,5.59,Mt
1992,Manitoba,283,Waste,1.05,Mt
1992,Manitoba,284,"Light Manufacturing, Construction and Forest Resources",0.42,Mt
1992,New Brunswick,285,Provincial Inventory Total,16.34,Mt
1992,New Brunswick,286,Oil and Gas,1.25,Mt
1992,New Brunswick,287,Electricity,6.18,Mt
1992,New Brunswick,288,Transport,3.67,Mt
1992,New Brunswick,289,Heavy Industry,1.65,Mt
1992,New Brunswick,290,Buildings,1.61,Mt
1992,New Brunswick,291,Agriculture,0.59,Mt
1992,New Brunswick,292,Waste,0.9,Mt
1992,New Brunswick,293,Coal Production,0.01,Mt
1992,New Brunswick,294,"Light Manufacturing, Construction and Forest Resources",0.48,Mt
1992,Newfoundland and Labrador,295,Provincial Inventory Total,8.44,Mt
1992,Newfoundland and Labrador,296,Oil and Gas,0.88,Mt
1992,Newfoundland and Labrador,297,Electricity,1.51,Mt
1992,Newfoundland and Labrador,298,Transport,2.84,Mt
1992,Newfoundland and Labrador,299,Heavy Industry,1.19,Mt
1992,Newfoundland and Labrador,300,Buildings,1.02,Mt
1992,Newfoundland and Labrador,301,Agriculture,0.11,Mt
1992,Newfoundland and Labrador,302,Waste,0.74,Mt
1992,Newfoundland and Labrador,303,"Light Manufacturing, Construction and Forest Resources",0.16,Mt
1992,Northwest Territories and Nunavut,304,Territorial Inventory Total,1.57,Mt
1992,Northwest Territories and Nunavut,305,Oil and Gas,0.21,Mt
1992,Northwest Territories and Nunavut,306,Electricity,0.13,Mt
1992,Northwest Territories and Nunavut,307,Transport,0.52,Mt
1992,Northwest Territories and Nunavut,308,Heavy Industry,0.07,Mt
1992,Northwest Territories and Nunavut,309,Buildings,0.55,Mt
1992,Northwest Territories and Nunavut,310,Agriculture,0.01,Mt
1992,Northwest Territories and Nunavut,311,Waste,0.05,Mt
1992,Northwest Territories and Nunavut,312,"Light Manufacturing, Construction and Forest Resources",0.04,Mt
1992,Nova Scotia,313,Provincial Inventory Total,19.6,Mt
1992,Nova Scotia,314,Oil and Gas,0.75,Mt
1992,Nova Scotia,315,Electricity,7.5,Mt
1992,Nova Scotia,316,Transport,4.25,Mt
1992,Nova Scotia,317,Heavy Industry,0.77,Mt
1992,Nova Scotia,318,Buildings,2.97,Mt
1992,Nova Scotia,319,Agriculture,0.72,Mt
1992,Nova Scotia,320,Waste,0.93,Mt
1992,Nova Scotia,321,Coal Production,1.33,Mt
1992,Nova Scotia,322,"Light Manufacturing, Construction and Forest Resources",0.38,Mt
1992,Ontario,323,Provincial Inventory Total,182.59,Mt
1992,Ontario,324,Oil and Gas,11.08,Mt
1992,Ontario,325,Electricity,27.22,Mt
1992,Ontario,326,Transport,39.69,Mt
1992,Ontario,327,Heavy Industry,44.34,Mt
1992,Ontario,328,Buildings,29.11,Mt
1992,Ontario,329,Agriculture,11.76,Mt
1992,Ontario,330,Waste,8.21,Mt
1992,Ontario,331,"Light Manufacturing, Construction and Forest Resources",11.18,Mt
1992,Prince Edward Island,332,Provincial Inventory Total,1.72,Mt
1992,Prince Edward Island,333,Oil and Gas,0,Mt
1992,Prince Edward Island,334,Electricity,0.05,Mt
1992,Prince Edward Island,335,Transport,0.55,Mt
1992,Prince Edward Island,336,Heavy Industry,0,Mt
1992,Prince Edward Island,337,Buildings,0.55,Mt
1992,Prince Edward Island,338,Agriculture,0.38,Mt
1992,Prince Edward Island,339,Waste,0.1,Mt
1992,Prince Edward Island,340,"Light Manufacturing, Construction and Forest Resources",0.1,Mt
1992,Quebec,341,Provincial Inventory Total,80.26,Mt
1992,Quebec,342,Oil and Gas,3.42,Mt
1992,Quebec,343,Electricity,0.95,Mt
1992,Quebec,344,Transport,23.13,Mt
1992,Quebec,345,Heavy Industry,23.22,Mt
1992,Quebec,346,Buildings,11.65,Mt
1992,Quebec,347,Agriculture,7.74,Mt
1992,Quebec,348,Waste,5.3,Mt
1992,Quebec,349,"Light Manufacturing, Construction and Forest Resources",4.82,Mt
1992,Saskatchewan,350,Provincial Inventory Total,52.14,Mt
1992,Saskatchewan,351,Oil and Gas,17.04,Mt
1992,Saskatchewan,352,Electricity,12.83,Mt
1992,Saskatchewan,353,Transport,5.48,Mt
1992,Saskatchewan,354,Heavy Industry,1.36,Mt
1992,Saskatchewan,355,Buildings,3.03,Mt
1992,Saskatchewan,356,Agriculture,9.34,Mt
1992,Saskatchewan,357,Waste,1.1,Mt
1992,Saskatchewan,358,Coal Production,0.04,Mt
1992,Saskatchewan,359,"Light Manufacturing, Construction and Forest Resources",1.92,Mt
1992,Yukon,360,Territorial Inventory Total,0.62,Mt
1992,Yukon,361,Oil and Gas,0.12,Mt
1992,Yukon,362,Electricity,0.05,Mt
1992,Yukon,363,Transport,0.29,Mt
1992,Yukon,364,Heavy Industry,0.02,Mt
1992,Yukon,365,Buildings,0.09,Mt
1992,Yukon,366,Agriculture,0.01,Mt
1992,Yukon,367,Waste,0.02,Mt
1992,Yukon,368,"Light Manufacturing, Construction and Forest Resources",0.02,Mt
1993,Alberta,369,Provincial Inventory Total,179.49,Mt
1993,Alberta,370,Oil and Gas,71.06,Mt
1993,Alberta,371,Electricity,45.38,Mt
1993,Alberta,372,Transport,14.18,Mt
1993,Alberta,373,Heavy Industry,12.95,Mt
1993,Alberta,374,Buildings,11.89,Mt
1993,Alberta,375,Agriculture,16.92,Mt
1993,Alberta,376,Waste,2.47,Mt
1993,Alberta,377,Coal Production,0.72,Mt
1993,Alberta,378,"Light Manufacturing, Construction and Forest Resources",3.93,Mt
1993,British Columbia,379,Provincial Inventory Total,52.59,Mt
1993,British Columbia,380,Oil and Gas,6.28,Mt
1993,British Columbia,381,Electricity,1.97,Mt
1993,British Columbia,382,Transport,15.95,Mt
1993,British Columbia,383,Heavy Industry,8.2,Mt
1993,British Columbia,384,Buildings,8.6,Mt
1993,British Columbia,385,Agriculture,2.71,Mt
1993,British Columbia,386,Waste,4.39,Mt
1993,British Columbia,387,Coal Production,1.98,Mt
1993,British Columbia,388,"Light Manufacturing, Construction and Forest Resources",2.5,Mt
1993,Canada,389,National Inventory Total,607.68,Mt
1993,Canada,390,Oil and Gas,117.53,Mt
1993,Canada,391,Electricity,93.12,Mt
1993,Canada,392,Transport,116.71,Mt
1993,Canada,393,Heavy Industry,94.09,Mt
1993,Canada,394,Buildings,75.98,Mt
1993,Canada,395,Agriculture,56.54,Mt
1993,Canada,396,Waste,25.5,Mt
1993,Canada,397,Coal Production,4.16,Mt
1993,Canada,398,"Light Manufacturing, Construction and Forest Resources",24.06,Mt
1993,Manitoba,399,Provincial Inventory Total,18.29,Mt
1993,Manitoba,400,Oil and Gas,1.98,Mt
1993,Manitoba,401,Electricity,0.3,Mt
1993,Manitoba,402,Transport,4.77,Mt
1993,Manitoba,403,Heavy Industry,1.06,Mt
1993,Manitoba,404,Buildings,3.02,Mt
1993,Manitoba,405,Agriculture,5.69,Mt
1993,Manitoba,406,Waste,1.08,Mt
1993,Manitoba,407,"Light Manufacturing, Construction and Forest Resources",0.39,Mt
1993,New Brunswick,408,Provincial Inventory Total,15.59,Mt
1993,New Brunswick,409,Oil and Gas,1.45,Mt
1993,New Brunswick,410,Electricity,5.18,Mt
1993,New Brunswick,411,Transport,3.72,Mt
1993,New Brunswick,412,Heavy Industry,1.72,Mt
1993,New Brunswick,413,Buildings,1.52,Mt
1993,New Brunswick,414,Agriculture,0.6,Mt
1993,New Brunswick,415,Waste,0.93,Mt
1993,New Brunswick,416,Coal Production,0.02,Mt
1993,New Brunswick,417,"Light Manufacturing, Construction and Forest Resources",0.47,Mt
